X,Y,Angle
-39.6222,-15.1108,0.2262
10.6783,-32.6310,-1.4180
23.3682,19.4014,-1.2774
-26.5791,-15.8703,0.3500
33.4011,-35.9353,3.0483
35.4008,40.1896,2.8482
38.7417,23.2557,-2.0353
-24.3479,40.5555,2.5360
-37.9927,-23.2182,-0.7661
-14.8890,34.0015,3.0531
-25.4206,22.3916,3.1018
-19.7497,-7.1943,1.6868
-13.0361,-36.8969,0.7845
19.5409,-2.5134,-3.0538
24.4710,-19.0142,1.1392
-11.7914,-31.0782,1.9952
-34.8630,-35.9035,2.6410
6.5366,-30.6901,-1.0231
34.5093,-16.7612,-0.1672
21.2994,20.1624,2.7922
-18.1229,30.3949,2.6197
-33.8110,39.6524,-1.7740
-1.2752,-8.4818,1.3445
-9.2235,-19.2202,-3.0410
5.1662,39.3583,-0.4078
37.5579,-8.6341,1.0986
-37.1840,-19.8807,1.6667
40.8472,36.0331,0.4919
35.7034,38.4102,-1.7623
27.7379,6.8732,2.7436
-7.5164,35.0929,1.3215
40.8004,-38.9092,-3.0557
40.4236,-0.4707,2.1292
-32.3162,26.7612,1.0855
36.5842,-9.3977,-1.6037
40.2583,-28.6857,-0.7247
-38.2509,-29.2987,0.5812
-14.8453,-38.6321,1.6255
-39.9323,-39.3117,-2.6437
-40.1273,27.1921,-1.9937
14.2267,-29.7072,-2.1176
-35.7724,-40.3235,-1.5531
-2.3302,-30.4356,-2.3596
-21.0809,-6.2810,-2.0917
-20.5716,-15.7549,-1.4771
-18.2283,-15.0836,1.7279
4.0010,13.9184,-1.9516
-40.4639,40.1299,-1.3654
-3.4880,-37.1919,2.1653
40.1662,-31.7326,2.4296
31.1873,30.5321,-0.4750
1.5456,22.4603,3.0834
-13.5484,-21.6278,-1.0762
6.4151,24.8232,-1.7411
17.6255,-38.9148,-0.7305
-31.1293,-29.1582,1.7447
26.3524,40.2552,-0.6473
23.8717,37.8156,1.5687
36.0402,-9.1745,0.6735
-39.4647,-33.5019,2.5880
38.2478,-40.2598,0.8400
-29.3681,15.7707,1.7293
1.0037,40.8302,-1.4430
-35.6159,6.4268,2.8678
-32.5425,-28.2940,2.2753
12.6608,-38.2566,-2.8699
-18.2847,38.3712,-2.4382
2.6622,19.0046,-2.5808
29.0068,9.3622,2.8376
-34.8239,0.0450,-0.8826
4.6517,-4.8522,-2.8666
26.2084,14.1423,2.3457
22.1972,-25.4420,-2.6405
-27.9115,-4.4297,2.2387
-15.9075,6.7655,0.4987
-16.0555,-34.9623,-1.9827
19.6231,-15.8967,-0.5668
-36.0650,40.0171,-1.0382
-23.5541,18.4805,-0.6883
35.2187,19.7195,-2.0638
10.4624,-22.0116,-1.2715
11.2048,39.1716,2.5091
-40.0455,22.7761,-2.1521
12.4053,39.2502,-1.1538
15.6964,-21.0881,3.0431
38.6868,-0.2765,-2.4921
-21.6880,-25.5439,1.4355
26.7732,-12.3583,-0.0063
36.3170,-0.3489,2.5353
1.8512,-22.1912,0.4273
9.8258,-40.2377,3.0523
-28.2885,11.6627,-2.6783
5.5128,40.5747,-1.3687
-39.9137,-6.2322,2.5866
39.3861,-39.4975,2.4799
-5.7203,32.0483,1.1926
30.6873,-18.8403,1.0836
23.8754,-40.0109,-0.7666
-23.5680,37.0018,2.6768
-0.0315,-0.0918,-1.7223
-6.3443,-39.1716,2.9816
-3.4439,-10.3030,-2.5678
12.3555,36.6697,0.6906
-20.6059,-39.5653,-0.3813
-12.4351,-38.5917,-2.2722
-15.4846,3.4917,1.4931
-17.4981,-8.0640,-0.5562
-30.6209,-40.0065,1.2676
5.3062,-13.2933,1.9156
11.0740,28.7006,1.0052
40.1159,-40.8330,0.3413
-19.8770,16.1301,2.2089
-17.7213,-11.3762,2.4945
-34.4972,37.0944,-0.0898
-2.7234,-39.1182,0.3059
34.7076,8.3111,0.8328
-27.4696,17.3520,0.3575
27.9338,39.2989,1.1223
-9.0483,19.6727,2.6533
-18.6105,-24.7787,1.5424
-13.5603,-20.4807,-0.2706
22.2628,8.4732,1.1651
-4.6454,32.0260,0.8341
1.5200,-40.5570,-0.7505
-39.3242,-0.0524,0.0819
-34.3634,-20.2802,1.1229
-12.4908,-5.7498,0.7935
-39.9528,-20.7303,0.6009
18.6659,37.6960,-2.8785
27.0608,-35.9176,-2.1078
28.4723,-7.0094,0.2584
33.2829,-8.3220,-2.4011
22.4098,40.5511,2.1288
36.1507,-4.5299,2.0195
31.5158,15.3034,0.8424
30.3800,22.9754,2.7656
-22.3977,-40.6871,1.5901
6.0132,-31.7332,-0.5279
31.8177,40.0775,0.4263
28.0812,25.7903,2.1839
39.3769,-18.4821,-0.0717
-7.3982,-16.1643,-1.4812
-26.3356,-38.1892,-1.1041
-20.6845,37.9013,-2.2454
-25.2600,1.7999,-0.1087
9.2678,-11.9207,-1.4414
-23.8916,17.0729,1.0241
7.7685,-17.0963,-0.6272
-39.5935,-23.7024,-1.9216
12.3511,40.2289,0.3147
33.1449,39.4031,0.4804
40.6972,-21.8962,0.4084
-22.5467,26.4203,-2.2805
-1.1915,39.2942,0.4491
-18.1480,-26.8376,-1.5634
9.7482,39.3492,1.6085
10.9892,-31.8549,1.5678
13.5079,32.5113,-3.0332
16.8753,38.9422,-2.5884
21.4689,-14.1478,0.3325
-17.9995,-18.3626,1.8371
5.9927,-23.4248,-0.7378
-33.0774,-13.3962,-0.6819
23.8021,39.6386,0.3848
-38.6052,-18.8262,-0.3107
-34.8007,39.2781,-2.9107
2.8437,-0.6367,1.5829
30.4209,35.8868,-2.9459
-14.4127,12.2719,-1.4990
-23.6326,-20.5540,2.4123
-40.6624,8.6689,1.7312
24.6680,-39.2342,0.4164
15.3453,-10.0679,-2.5100
-4.8788,39.6941,2.1388
