X,Y,Angle
-45.0555,-12.1382,0.3448
14.9235,-33.8294,1.8651
25.4840,33.3472,2.4376
-31.0091,-23.3922,-0.8574
38.4184,-47.5058,-2.5561
34.8773,41.0406,-1.7009
43.0729,24.9098,-2.4909
-30.9112,44.1844,2.2514
-39.6317,-40.2127,-1.3921
-21.5500,24.7705,-2.5043
-32.8434,32.5543,1.3821
-32.7427,0.1971,0.6831
-6.8060,-26.1493,-0.8285
29.4967,-4.8498,1.4867
21.3791,-17.1385,1.8121
-18.1130,-32.7713,1.2053
-46.6345,-39.3357,-1.0580
11.8861,-23.2462,-0.8772
49.6133,-13.2090,-1.4647
14.2843,16.3311,-1.0689
-25.2638,29.5955,2.5810
-28.7619,49.3859,-1.3307
-12.9149,-6.4881,0.9668
-13.0520,-26.9351,-1.1894
7.8176,41.7897,-0.3418
37.3209,-23.2924,0.9072
-43.9351,-20.2431,2.0947
46.1207,40.7711,-2.9091
32.1142,41.8535,-0.1428
23.9891,9.5160,-2.8015
-4.7588,34.6474,3.1019
46.6690,-44.7443,-2.5875
48.4903,-5.5078,-2.4977
-26.2033,27.8225,-0.1675
44.6062,-11.0258,-1.3278
45.0680,-24.8102,0.8759
-33.1647,-21.2187,-2.8813
-2.6350,-26.9949,2.3079
-44.5948,-47.6443,0.8224
-47.5397,25.2754,0.3194
18.5990,-28.5133,-1.8598
-42.9170,-30.2659,-0.3451
-3.7647,-33.0008,1.3641
-18.8911,-5.5765,0.3577
-16.1704,-13.1222,2.3192
-17.1327,-15.4980,-2.6480
2.9635,0.7723,-1.1948
-44.5662,48.5708,0.6540
0.7845,-42.8761,-0.1142
32.3689,-36.8512,0.9828
27.7667,29.1609,1.1367
1.8994,37.8531,1.5168
-14.9584,-18.8370,-2.3930
8.2704,16.6647,0.8474
15.4924,-48.3234,1.0976
-42.3491,-19.0464,-1.6876
21.2057,37.1237,1.3916
17.0455,44.3514,1.8562
32.4360,-7.2872,1.8957
-48.7708,-24.3701,2.2367
49.1984,-45.6046,2.6953
-28.5294,10.8910,0.8089
5.4687,43.0482,1.3224
-37.2634,5.8578,-0.0095
-34.1212,-32.4453,0.3615
5.2471,-25.0315,2.5889
-23.7483,49.5138,1.6503
0.4649,16.6495,0.5130
25.5588,-2.4659,-1.6170
-40.3104,-0.8208,-1.4388
3.3704,-2.2288,-0.6754
26.9351,15.6393,3.0544
31.2834,-22.4578,-2.4777
-27.2323,-13.0255,-0.3729
-22.8227,-0.5297,0.5334
-14.8786,-43.6104,-2.6885
25.6170,-18.7344,1.9515
-47.3344,32.1956,-0.6715
-30.3998,12.0380,-2.9589
31.5072,21.0483,0.5157
17.0629,-26.2404,-1.4741
11.0938,46.0527,-2.8099
-36.2634,27.1119,2.9465
14.8190,48.1414,-0.6158
15.5682,-21.4891,3.0587
36.4876,7.8112,2.8412
-14.0060,-14.3284,0.2144
28.9238,-14.0950,2.8546
39.4715,3.8149,1.0528
1.6325,-14.7165,-1.8796
17.6409,-42.1682,0.1234
-24.5332,15.3972,1.1065
4.9196,31.7984,-1.8964
-40.5480,-2.6297,-2.3012
49.5881,-40.8735,0.5133
-8.9406,46.5741,-2.4205
40.8712,-22.5427,0.4718
20.9653,-42.1738,2.4241
-21.4915,47.8279,-0.8569
-1.3416,-0.1762,1.3903
-11.7298,-34.0271,2.3291
1.7414,-7.6243,-1.6332
9.1828,48.1445,-0.9400
-4.7236,-43.4239,1.7942
-18.6049,-45.1088,1.9679
-4.9002,-2.1541,2.7058
-31.7481,-14.5326,2.9627
-23.3519,-43.8040,-1.3320
17.0293,-15.8703,-0.3621
15.0308,31.1520,1.4423
45.9422,-32.4592,-2.9629
-18.9402,20.9969,-0.9648
-18.2834,-19.7672,-2.3236
-33.3268,27.5638,-0.8309
-5.7439,-40.2903,0.1320
32.2085,4.4858,2.1966
-29.9809,17.3681,-1.8178
30.3244,46.5698,-1.4294
2.0606,14.2039,0.5646
-26.6131,-19.8040,0.3359
-6.3488,-21.7169,0.3331
29.5494,7.6194,-1.2456
11.1132,37.3568,1.3351
-7.8181,-45.1822,-0.2150
-30.6703,-3.6956,0.8864
-41.8444,-20.6488,-2.4894
-13.9515,-2.9168,0.8369
-44.4288,-18.9599,1.4800
26.0836,35.8198,-0.7583
37.2445,-44.5397,1.8885
24.9751,4.4057,3.0572
35.7405,-13.4382,0.3143
19.1626,48.6976,-0.5206
28.7287,-10.8992,-0.8146
26.7637,6.5395,1.7009
26.6701,16.1779,-1.2737
-17.2393,-46.0772,1.6860
9.3252,-38.1056,-2.7908
36.9065,37.2873,2.4956
26.4757,23.1777,1.7321
42.9158,-2.4849,0.3727
-10.2407,-16.9379,2.7337
-13.9037,-48.6847,1.7770
-20.2060,36.2454,-1.7673
-24.0608,13.1563,2.9650
17.2720,-10.3072,-0.8289
-7.4465,25.3330,-0.5262
10.7699,-14.5351,1.5954
-41.0299,-25.4731,-0.5070
-2.5706,48.1037,-2.2448
37.7371,40.9572,0.8051
38.6541,-23.7438,-2.5803
-26.8823,17.5052,2.8742
4.4680,45.3241,-2.9061
-22.5742,-31.2024,0.3752
8.1028,36.1608,2.7094
3.3325,-22.2961,1.6714
6.5193,37.6549,-2.6960
13.1513,47.7333,-0.6331
12.4597,-6.9622,-1.0450
-13.7345,-15.8081,-1.9284
6.5919,-29.2979,0.9324
-36.9578,-6.5402,-3.1189
16.5752,47.7025,2.9505
-36.4684,-22.0817,-1.4003
-31.2111,36.8557,-1.7933
15.9758,-8.7466,-0.8249
39.8862,48.4248,-0.9542
-2.8889,9.7763,-1.5279
-21.8024,-23.0328,2.3258
-41.3807,11.2871,-2.2430
26.3139,-30.9296,-0.5047
22.2685,-19.2616,2.2568
-11.6096,48.6750,0.7589
47.5178,-39.1654,-2.5456
26.3572,-21.4635,2.6647
-10.1514,44.0909,-1.3374
-15.9238,29.5949,3.0008
-37.2793,-21.1235,0.7890
40.4938,6.9002,-2.8454
-37.9581,13.7908,1.1604
12.9164,-10.9990,2.0944
-14.0840,-35.5351,-1.0681
6.8014,3.7504,-0.4612
24.3844,-1.6324,-1.1030
-30.2086,-28.2882,-0.6764
5.0797,14.0769,-0.3793
-19.8054,45.1425,-1.6603
-48.5435,-38.1602,-0.1485
-12.9603,47.5770,-1.3152
46.0500,-41.7010,2.4865
-30.9083,23.0840,-1.1421
9.6784,-42.4458,0.4413
-21.4057,14.4322,3.0121
43.9635,-12.6802,-0.6196
26.4612,9.4735,0.7808
39.4768,-35.3187,-1.1516
45.2586,-4.5186,-1.7558
29.9586,-3.5955,-1.1056
45.1521,35.7772,-0.8688
