# prefix=N45_job5048444_task45 run_id=45 seed=12345 L=5.1903979903499291 best_feas=0 N=45
i,cx,cy,theta_rad
0,1.4713821292767462,-1.7298788626232584,3.0264484227405042
1,-1.0622278094411111,-1.4468338029576693,2.3588287459708575
2,-2.215485259606699,-1.5368097122677908,2.7121302649273766
3,-1.7093584571328029,0.90593446428020963,6.1777829332959611
4,2.2578584961464165,2.0057374100131358,0.79430088056914339
5,-0.033431021110483572,1.0899249651269671,2.2330380148812843
6,-1.6417910059293144,2.2274158574346936,1.435475035617473
7,1.3945898976899833,1.0754001939148958,5.7090046979904487
8,2.1173934969207391,1.1212149600722561,5.7325451949582105
9,-0.62001300367638845,-1.796495392933219,5.0585095744825592
10,0.80396290322331199,0.23254155898978873,3.6219710848784636
11,-0.50277857460575848,1.7134206546627762,3.0655205129453238
12,0.71505398648829299,1.5303131558698615,4.8138027243142458
13,0.43537409282649925,-0.688442237152041,0.70789265143211977
14,-0.96983853022348887,-2.1861471575859013,4.6223001736002205
15,-1.0915931796279765,0.82247812812045895,3.2249162780610989
16,-0.99255033902798662,1.3471415182632294,0.89236034067750436
17,1.3242334498464992,0.57392326246838543,5.1769361527640436
18,0.94177980606478418,1.0047133023018338,2.4536529361256969
19,2.1178376405275743,0.67896478825439666,3.2826004057528562
20,-0.49677195948786251,2.2030456056985606,5.102045194248265
21,-2.1177274555166403,0.3066052927741249,0.45165963533716802
22,1.3831864375809426,2.2811987101012816,4.0388198436154754
23,0.96456938551595894,2.112313572653171,1.4218411881070174
24,-2.2132283450051973,-0.72796964127540886,0.156753211846274
25,0.3711941368892902,-1.1549088224469228,1.8043135883328503
26,2.2206846480204327,-1.2192435814537204,3.2853400976391098
27,2.0668586982204857,-2.1534375611278218,0.13504518973854235
28,0.34069579793362126,1.5533267326528963,0.30729253893567843
29,-1.7823611324577666,-1.984073696890758,2.3662242484557749
30,1.9298347067195145,-1.0415599435924006,0.67575938625812781
31,2.3697789947287626,-0.49897771159205628,0.8803967619410823
32,0.8821874043218394,-1.4927076438099824,3.2562044731757234
33,-1.5381362125027631,-0.30015791246201201,3.6726560424031289
34,1.4306937680868836,-0.16273731881006293,5.8577105473429878
35,-0.85668344928388862,2.2779932273969785,2.0630916216348214
36,0.42181298726126332,0.25872630858134854,1.5122204472782952
37,0.42441306842618132,-2.3461529789018152,0.78004066513144954
38,-0.17506536188975269,-0.58429108505028426,2.663046628837523
39,-1.7388157887765496,-1.0877878559099612,1.5569135783056984
40,-1.590001619488171,0.31311308432866081,4.1277590035433125
41,0.81078313448638917,-0.75813041140549808,4.3381499579863956
42,-0.68819399946072823,0.34949755895370077,3.8368549447562685
43,-2.2652800468918359,1.2204852714111434,5.7145720201925538
44,-0.84425746327406825,-0.94958251301298091,0.50947248967346181
