i,x,y,deg
0,-4.815000000000,-4.815000000000,45.000000000000
1,-3.745000000000,-3.745000000000,45.000000000000
2,-2.675000000000,-2.675000000000,45.000000000000
3,-1.605000000000,-1.605000000000,45.000000000000
4,-0.535000000000,-0.535000000000,45.000000000000
5,0.535000000000,0.535000000000,45.000000000000
6,1.605000000000,1.605000000000,45.000000000000
7,2.675000000000,2.675000000000,45.000000000000
8,3.745000000000,3.745000000000,45.000000000000
9,4.815000000000,4.815000000000,45.000000000000
