i,x,y,deg
0,-0.176690156449,-0.071929984486,90.000000000000
1,-0.439175992140,0.652909974524,227.507764050038
2,0.281450531787,-0.858320562434,5.015528100076
3,0.606144395900,0.594679675534,142.523292150113
4,-0.974549597596,-0.565821583575,280.031056200151
5,0.874992819063,-0.466616524979,57.538820250189
6,0.019277613946,1.068679199560,195.046584300227
7,-0.311793088977,-0.936310381166,332.554348350265
8,1.089803368894,0.237559976195,110.062112400303
9,-1.085943354653,0.433580767003,247.569876450341
