i,x,y,deg
0,-0.631494738059,-0.536713348618,45.000000000000
1,-0.371804372624,-0.570720239382,225.000000000000
2,0.370830932801,-0.713241525729,45.000000000000
3,0.738704921573,-0.682832523002,225.000000000000
4,-0.759003526609,0.198873834047,225.000000000000
5,-0.032693299355,0.093736766083,45.000000000000
6,0.236117435827,0.037238448570,225.000000000000
7,0.817813384751,0.197037630827,45.000000000000
8,-0.523110067979,0.787560539743,45.000000000000
9,-0.120581797160,0.813148380785,225.000000000000
