i,x,y,deg
0,-3.523929211054,-3.745148169094,0.000000000000
1,-2.478934897451,-2.385774905176,90.000000000000
2,-3.967267507303,-3.301152580650,0.000000000000
3,-2.360761250611,-3.724474586493,90.000000000000
4,-4.467280199768,-3.101166089958,0.000000000000
5,-2.938172306317,-1.950855480053,90.000000000000
6,-2.767808654133,-3.368895287482,0.000000000000
7,-3.092808528823,-2.822209838627,90.000000000000
8,-3.822676008621,-2.433982022811,0.000000000000
9,-4.580548941991,-2.223014375499,90.000000000000
