i,x,y,deg
0,-0.190767848946,-0.299545783480,0.000000000000
1,0.223582015923,0.258785113314,48.701412586120
2,-0.445607141874,0.438853985576,97.402825172240
3,-0.682912733047,0.051179874510,146.104237758360
4,-0.604148845715,-0.478927349874,194.805650344480
5,-0.168350007105,-0.631909109217,243.507062930600
6,0.404237835604,-0.566951781050,292.208475516720
7,0.796207728039,-0.101368225294,340.909888102840
8,0.705304732898,0.500074709459,29.611300688960
9,0.124008337654,0.942171536712,78.312713275080
