# prefix=N50_job5490046_task2 run_id=2 seed=12347 N=50
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
604.000000,4.69947060602,0,0.0004,69,0,9
1207.000000,4.69586233647,0,0.0002048,136,0,16
1811.000000,4.69586233647,0,8.38861e-05,202,0,2
2412.000000,4.69586233647,0,4.29497e-05,268,0,8
3012.000000,4.69539766967,0,2.19902e-05,334,2,14
3618.000000,4.69419182045,0,1.40737e-05,402,2,2
4220.000000,4.69405969163,0,1e-05,469,0,9
4828.000000,4.69405969163,0,1e-05,536,0,16
5428.000000,4.69405969163,0,1e-05,602,0,2
6036.000000,4.69405969163,0,1e-05,669,0,9
6636.000000,4.69405969163,0,1e-05,735,0,15
7244.000000,4.69405969163,0,1e-05,802,0,2
7852.000000,4.69405969163,0,1e-05,869,0,9
8452.000000,4.69405969163,0,1e-05,935,0,15
9060.000000,4.69405969163,0,1e-05,1002,0,2
9660.000000,4.69405969163,0,1e-05,1068,0,8
10268.000000,4.69405969163,0,1e-05,1135,0,15
10876.000000,4.69405969163,0,1e-05,1202,0,2
11476.000000,4.69405969163,0,1e-05,1268,0,8
12084.000000,4.69405969163,0,1e-05,1335,0,15
12692.000000,4.69405969163,0,1e-05,1402,0,2
13300.000000,4.69405969163,0,1e-05,1469,0,9
