# prefix=N50_job5490722_task5 run_id=5 seed=12350 N=50
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
604.000000,4.67094144477,1.08246744901e-15,0.000976562,73,11,13
1204.000000,4.67094144477,1.08246744901e-15,0.000625,141,0,1
1811.000000,4.63777082243,4.4408920985e-16,0.0005,210,2,10
2413.000000,4.63777082243,4.4408920985e-16,0.000256,279,0,19
3019.000000,4.63777082243,4.4408920985e-16,0.000104858,348,0,8
3624.000000,4.63777082243,4.4408920985e-16,5.36871e-05,417,0,17
4226.000000,4.63777082243,4.4408920985e-16,2.19902e-05,486,0,6
4829.000000,4.63770555161,1.93415738341e-16,1.1259e-05,556,0,16
5429.000000,4.63770555161,1.93415738341e-16,1e-05,625,0,5
6030.000000,4.63770555161,1.93415738341e-16,1e-05,694,0,14
6631.000000,4.63770555161,1.93415738341e-16,1e-05,763,0,3
7232.000000,4.63770555161,1.93415738341e-16,1e-05,832,0,12
7833.000000,4.63770555161,1.93415738341e-16,1e-05,901,0,1
8434.000000,4.63770555161,1.93415738341e-16,1e-05,970,0,10
9034.000000,4.63770555161,1.93415738341e-16,1e-05,1039,0,19
9635.000000,4.63770555161,1.93415738341e-16,1e-05,1108,0,8
10236.000000,4.63770555161,1.93415738341e-16,1e-05,1177,0,17
10837.000000,4.63770555161,1.93415738341e-16,1e-05,1246,0,6
11437.000000,4.63770555161,1.93415738341e-16,1e-05,1315,0,15
12038.000000,4.63770555161,1.93415738341e-16,1e-05,1384,0,4
12639.000000,4.63770555161,1.93415738341e-16,1e-05,1453,0,13
13244.000000,4.63770555161,1.93415738341e-16,1e-05,1520,0,0
