# prefix=N25_job5490041_task8 run_id=8 seed=12353 N=25
step,time_sec,info
44,600.000000,bestL=3.22244265553 feas=0.000e+00 eps=0.00032
88,1205.000000,bestL=3.22161771021 feas=2.776e-16 eps=0.000205
132,1810.000000,bestL=3.22161771021 feas=2.776e-16 eps=0.000131
176,2416.000000,bestL=3.22161771021 feas=2.776e-16 eps=8.39e-05
220,3028.000000,bestL=3.22161771021 feas=2.776e-16 eps=4.29e-05
264,3635.000000,bestL=3.22141846416 feas=1.990e-16 eps=2.75e-05
308,4240.000000,bestL=3.22134762441 feas=6.939e-17 eps=1.76e-05
352,4847.000000,bestL=3.22134762441 feas=6.939e-17 eps=1.13e-05
397,5454.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
442,6059.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
487,6665.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
532,7270.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
577,7876.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
622,8481.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
667,9087.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
712,9692.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
757,10298.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
802,10904.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
847,11509.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
892,12115.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
937,12721.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
982,13326.000000,bestL=3.22134762441 feas=6.939e-17 eps=1e-05
