# prefix=N25_job5490721_task6 run_id=6 seed=12351 N=25
step,time_sec,info
50,611.000000,bestL=3.32382120046 feas=2.129e-03 eps=0.00032
100,1218.000000,bestL=3.32382120046 feas=2.129e-03 eps=0.000164
149,1822.000000,bestL=3.32382120046 feas=2.129e-03 eps=0.000105
198,2425.000000,bestL=3.32354237813 feas=2.321e-15 eps=6.71e-05
247,3026.000000,bestL=3.32256469979 feas=0.000e+00 eps=3.44e-05
296,3632.000000,bestL=3.31931687775 feas=0.000e+00 eps=3.99e-05
345,4239.000000,bestL=3.31594259902 feas=0.000e+00 eps=4.19e-05
395,4843.000000,bestL=3.31500815484 feas=0.000e+00 eps=2.68e-05
445,5450.000000,bestL=3.31473908483 feas=0.000e+00 eps=1.8e-05
494,6058.000000,bestL=3.31470081904 feas=3.331e-16 eps=1.15e-05
543,6664.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
592,7270.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
641,7876.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
690,8482.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
739,9088.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
788,9694.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
837,10300.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
886,10906.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
935,11512.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
984,12118.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
1033,12724.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
1082,13330.000000,bestL=3.31470081904 feas=3.331e-16 eps=1e-05
