# prefix=N50_job5490045_task1 run_id=1 seed=12346 N=50
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
601.000000,4.68620149874,0,0.000256,72,0,12
1201.000000,4.67918970845,3.52962017253e-16,0.000121897,144,4,4
1807.000000,4.67656178413,0,7.25531e-05,216,2,16
2413.000000,4.66933329771,1.44328993201e-15,6.27512e-05,287,0,7
3020.000000,4.66837700359,4.99600361081e-16,3.21286e-05,357,2,17
3620.000000,4.66759356944,0,1.52983e-05,426,3,6
4221.000000,4.66759356944,0,1e-05,496,0,16
4824.000000,4.66759356944,0,1e-05,566,0,6
5427.000000,4.66759356944,0,1e-05,636,0,16
6029.000000,4.66759356944,0,1e-05,706,0,6
6632.000000,4.66759356944,0,1e-05,776,0,16
7235.000000,4.66759356944,0,1e-05,846,0,6
7838.000000,4.66759356944,0,1e-05,916,0,16
8441.000000,4.66759356944,0,1e-05,986,0,6
9044.000000,4.66759356944,0,1e-05,1056,0,16
9647.000000,4.66759356944,0,1e-05,1126,0,6
10250.000000,4.66759356944,0,1e-05,1196,0,16
10853.000000,4.66759356944,0,1e-05,1266,0,6
11455.000000,4.66759356944,0,1e-05,1336,0,16
12058.000000,4.66759356944,0,1e-05,1406,0,6
12661.000000,4.66759356944,0,1e-05,1476,0,16
13264.000000,4.66759356944,0,1e-05,1546,0,6
