# prefix=N25_job5490042_task1 run_id=1 seed=12346 N=25
step,time_sec,info
42,607.000000,bestL=3.17517031933 feas=7.994e-03 eps=0.00032
84,1216.000000,bestL=3.17517031933 feas=7.994e-03 eps=0.000205
126,1828.000000,bestL=3.17517031933 feas=7.994e-03 eps=0.000131
167,2429.000000,bestL=3.17517031933 feas=7.994e-03 eps=8.39e-05
208,3030.000000,bestL=3.17517031933 feas=7.994e-03 eps=5.37e-05
250,3642.000000,bestL=3.17517031933 feas=7.994e-03 eps=3.44e-05
291,4242.000000,bestL=3.17517031933 feas=7.994e-03 eps=2.2e-05
333,4856.000000,bestL=3.17517031933 feas=7.994e-03 eps=1.41e-05
374,5457.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
415,6057.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
457,6671.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
499,7285.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
541,7898.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
583,8512.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
625,9126.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
667,9739.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
709,10353.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
751,10966.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
793,11580.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
835,12193.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
876,12793.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
918,13406.000000,bestL=3.17517031933 feas=7.994e-03 eps=1e-05
