event_idx,unix_ts,elapsed_sec,stage,L,overlap,outside,feas,no_overlap,feasible,csv_path,svg_path
0,1777086555,5.000000,initial,2.4149999999999996,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_initial_noov_feas_e000000_t1777086555_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_initial_noov_feas_e000000_t1777086555_N005.svg
1,1777086560,10.000000,bracket_shrink_feas,2.3425499999999997,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000001_t1777086560_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000001_t1777086560_N005.svg
2,1777086565,15.000000,bracket_shrink_feas,2.2722734999999998,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000002_t1777086565_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000002_t1777086565_N005.svg
3,1777086570,20.000000,bracket_shrink_feas,2.2041052949999997,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000003_t1777086570_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000003_t1777086570_N005.svg
4,1777086575,25.000000,bracket_shrink_feas,2.1379821361499998,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000004_t1777086575_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000004_t1777086575_N005.svg
5,1777086581,31.000000,bracket_shrink_feas,2.0738426720654997,1.1761137725411702e-06,0,1.1761137725411702e-06,0,0,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000005_t1777086581_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000005_t1777086581_N005.svg
6,1777086586,36.000000,bracket_shrink_feas,2.0116273919035348,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000006_t1777086586_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000006_t1777086586_N005.svg
7,1777086592,42.000000,bracket_shrink_feas,1.9512785701464286,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000007_t1777086592_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000007_t1777086592_N005.svg
8,1777086598,48.000000,bracket_shrink_feas,1.8927402130420357,3.9095962389778808e-05,0,3.9095962389778808e-05,0,0,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000008_t1777086598_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000008_t1777086598_N005.svg
9,1777086605,55.000000,bracket_shrink_feas,1.8359580066507746,0.00027855810741211581,0,0.00027855810741211581,0,0,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000009_t1777086605_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_ov_infeas_e000009_t1777086605_N005.svg
10,1777086612,62.000000,bracket_shrink_feas,1.7808792664512514,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000010_t1777086612_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000010_t1777086612_N005.svg
11,1777086620,70.000000,bracket_shrink_feas,1.7274528884577138,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000011_t1777086620_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000011_t1777086620_N005.svg
12,1777086627,77.000000,bracket_shrink_feas,1.6756293018039823,0,0,0,1,1,csv/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000012_t1777086627_N005.csv,img/history/N5_20260424_200856_job5490039_node_03_i9n16_w001_bracket_shrink_feas_noov_feas_e000012_t1777086627_N005.svg
