# prefix=N200_job5490051_task1 run_id=1 seed=12346 N=200
step,time_sec,info
168,602.000000,bestL=9.77711902208 feas=6.661e-16 eps=0.000262
335,1204.000000,bestL=9.75877611496 feas=0.000e+00 eps=5.95e-05
505,1806.000000,bestL=9.75476230363 feas=3.741e-16 eps=1.25e-05
675,2408.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
845,3008.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1015,3609.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1185,4209.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1355,4809.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1525,5409.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1695,6010.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
1865,6610.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2035,7210.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2205,7810.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2375,8411.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2545,9011.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2715,9612.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
2885,10213.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3055,10813.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3225,11414.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3395,12014.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3565,12615.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3735,13215.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
3905,13816.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4075,14417.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4245,15018.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4415,15619.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4585,16220.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4755,16820.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
4925,17421.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5095,18021.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5265,18622.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5435,19223.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5605,19823.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5775,20423.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
5945,21023.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6115,21623.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6285,22223.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6455,22823.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6625,23423.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6795,24023.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
6965,24623.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7135,25223.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7305,25823.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7475,26423.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7645,27023.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7815,27623.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
7985,28223.000000,bestL=9.75407911132 feas=0.000e+00 eps=1e-05
