# prefix=N100_job5490719_task3 run_id=3 seed=12348 N=100
step,time_sec,info
118,604.000000,bestL=6.80869060359 feas=0.000e+00 eps=0.000298
234,1208.000000,bestL=6.79434719877 feas=0.000e+00 eps=0.000105
350,1811.000000,bestL=6.78833244945 feas=0.000e+00 eps=4.76e-05
466,2412.000000,bestL=6.78833244945 feas=0.000e+00 eps=1.25e-05
583,3012.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
701,3616.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
819,4221.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
937,4825.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1054,5425.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1172,6029.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1290,6633.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1408,7237.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1526,7841.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1644,8444.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1762,9048.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1880,9651.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
1998,10255.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
2116,10859.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
2234,11463.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
2352,12067.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
2470,12671.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
2588,13275.000000,bestL=6.78833244945 feas=0.000e+00 eps=1e-05
