# prefix=N200_job5490050_task2 run_id=2 seed=12347 N=200
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
603.000000,9.98200050001,0,0.000275607,184,4,4
1203.000000,9.7894175268,0,0.000322138,358,0,18
1803.000000,9.72899302874,0,0.000165833,527,1,7
2403.000000,9.70673873628,0,5.05364e-05,693,1,13
3003.000000,9.7054819147,0,1e-05,860,0,0
3605.000000,9.7054819147,0,1e-05,1029,0,9
4207.000000,9.7054819147,0,1e-05,1198,0,18
4809.000000,9.7054819147,0,1e-05,1367,0,7
5411.000000,9.7054819147,0,1e-05,1536,0,16
6013.000000,9.7054819147,0,1e-05,1705,0,5
6615.000000,9.7054819147,0,1e-05,1874,0,14
7218.000000,9.7054819147,0,1e-05,2043,0,3
7820.000000,9.7054819147,0,1e-05,2212,0,12
8422.000000,9.7054819147,0,1e-05,2381,0,1
9025.000000,9.7054819147,0,1e-05,2550,0,10
9628.000000,9.7054819147,0,1e-05,2719,0,19
10230.000000,9.7054819147,0,1e-05,2888,0,8
10831.000000,9.7054819147,0,1e-05,3057,0,17
11433.000000,9.7054819147,0,1e-05,3226,0,6
12035.000000,9.7054819147,0,1e-05,3395,0,15
12636.000000,9.7054819147,0,1e-05,3564,0,4
13238.000000,9.7054819147,0,1e-05,3733,0,13
13839.000000,9.7054819147,0,1e-05,3902,0,2
14441.000000,9.7054819147,0,1e-05,4071,0,11
15043.000000,9.7054819147,0,1e-05,4238,0,18
15643.000000,9.7054819147,0,1e-05,4401,0,1
16246.000000,9.7054819147,0,1e-05,4570,0,10
16847.000000,9.7054819147,0,1e-05,4739,0,19
17449.000000,9.7054819147,0,1e-05,4908,0,8
18050.000000,9.7054819147,0,1e-05,5077,0,17
18652.000000,9.7054819147,0,1e-05,5246,0,6
19253.000000,9.7054819147,0,1e-05,5415,0,15
19855.000000,9.7054819147,0,1e-05,5584,0,4
20456.000000,9.7054819147,0,1e-05,5753,0,13
21058.000000,9.7054819147,0,1e-05,5922,0,2
21660.000000,9.7054819147,0,1e-05,6091,0,11
22261.000000,9.7054819147,0,1e-05,6260,0,0
22863.000000,9.7054819147,0,1e-05,6429,0,9
23464.000000,9.7054819147,0,1e-05,6598,0,18
24066.000000,9.7054819147,0,1e-05,6767,0,7
24667.000000,9.7054819147,0,1e-05,6936,0,16
25269.000000,9.7054819147,0,1e-05,7105,0,5
25870.000000,9.7054819147,0,1e-05,7274,0,14
26472.000000,9.7054819147,0,1e-05,7443,0,3
27074.000000,9.7054819147,0,1e-05,7612,0,12
27675.000000,9.7054819147,0,1e-05,7781,0,1
28277.000000,9.7054819147,0,1e-05,7950,0,10
