# prefix=N200_job5490051_task1 run_id=1 seed=12346 N=200
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
602.000000,9.77711902208,6.66133814775e-16,0.000262483,168,3,8
1204.000000,9.75877611496,0,5.95124e-05,335,5,15
1806.000000,9.75476230363,3.74119206209e-16,1.25486e-05,505,3,5
2408.000000,9.75407911132,0,1e-05,675,0,15
3008.000000,9.75407911132,0,1e-05,845,0,5
3609.000000,9.75407911132,0,1e-05,1015,0,15
4209.000000,9.75407911132,0,1e-05,1185,0,5
4809.000000,9.75407911132,0,1e-05,1355,0,15
5409.000000,9.75407911132,0,1e-05,1525,0,5
6010.000000,9.75407911132,0,1e-05,1695,0,15
6610.000000,9.75407911132,0,1e-05,1865,0,5
7210.000000,9.75407911132,0,1e-05,2035,0,15
7810.000000,9.75407911132,0,1e-05,2205,0,5
8411.000000,9.75407911132,0,1e-05,2375,0,15
9011.000000,9.75407911132,0,1e-05,2545,0,5
9612.000000,9.75407911132,0,1e-05,2715,0,15
10213.000000,9.75407911132,0,1e-05,2885,0,5
10813.000000,9.75407911132,0,1e-05,3055,0,15
11414.000000,9.75407911132,0,1e-05,3225,0,5
12014.000000,9.75407911132,0,1e-05,3395,0,15
12615.000000,9.75407911132,0,1e-05,3565,0,5
13215.000000,9.75407911132,0,1e-05,3735,0,15
13816.000000,9.75407911132,0,1e-05,3905,0,5
14417.000000,9.75407911132,0,1e-05,4075,0,15
15018.000000,9.75407911132,0,1e-05,4245,0,5
15619.000000,9.75407911132,0,1e-05,4415,0,15
16220.000000,9.75407911132,0,1e-05,4585,0,5
16820.000000,9.75407911132,0,1e-05,4755,0,15
17421.000000,9.75407911132,0,1e-05,4925,0,5
18021.000000,9.75407911132,0,1e-05,5095,0,15
18622.000000,9.75407911132,0,1e-05,5265,0,5
19223.000000,9.75407911132,0,1e-05,5435,0,15
19823.000000,9.75407911132,0,1e-05,5605,0,5
20423.000000,9.75407911132,0,1e-05,5775,0,15
21023.000000,9.75407911132,0,1e-05,5945,0,5
21623.000000,9.75407911132,0,1e-05,6115,0,15
22223.000000,9.75407911132,0,1e-05,6285,0,5
22823.000000,9.75407911132,0,1e-05,6455,0,15
23423.000000,9.75407911132,0,1e-05,6625,0,5
24023.000000,9.75407911132,0,1e-05,6795,0,15
24623.000000,9.75407911132,0,1e-05,6965,0,5
25223.000000,9.75407911132,0,1e-05,7135,0,15
25823.000000,9.75407911132,0,1e-05,7305,0,5
26423.000000,9.75407911132,0,1e-05,7475,0,15
27023.000000,9.75407911132,0,1e-05,7645,0,5
27623.000000,9.75407911132,0,1e-05,7815,0,15
28223.000000,9.75407911132,0,1e-05,7985,0,5
