# prefix=N25_job5490043_task2 run_id=2 seed=12347 N=25
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
613.000000,3.21318332698,3.46944695195e-17,0.00032,44,0,4
1222.000000,3.21318332698,3.46944695195e-17,0.0002048,89,0,9
1833.000000,3.2103415532,0,0.000131072,134,3,14
2442.000000,3.2103415532,0,8.38861e-05,179,0,19
3048.000000,3.2103415532,0,4.29497e-05,224,0,4
3661.000000,3.2103415532,0,2.74878e-05,269,0,9
4269.000000,3.2103415532,0,1.75922e-05,314,0,14
4869.000000,3.2103415532,0,1.1259e-05,358,0,18
5476.000000,3.2103415532,0,1e-05,403,0,3
6083.000000,3.2103415532,0,1e-05,448,0,8
6690.000000,3.2103415532,0,1e-05,493,0,13
7297.000000,3.2103415532,0,1e-05,538,0,18
7904.000000,3.2103415532,0,1e-05,583,0,3
8511.000000,3.2103415532,0,1e-05,628,0,8
9119.000000,3.2103415532,0,1e-05,673,0,13
9726.000000,3.2103415532,0,1e-05,718,0,18
10334.000000,3.2103415532,0,1e-05,763,0,3
10941.000000,3.2103415532,0,1e-05,808,0,8
11548.000000,3.2103415532,0,1e-05,853,0,13
12156.000000,3.2103415532,0,1e-05,898,0,18
12763.000000,3.2103415532,0,1e-05,943,0,3
13371.000000,3.2103415532,0,1e-05,988,0,8
