# prefix=N100_job5490049_task2 run_id=2 seed=12347 N=100
step,time_sec,info
117,604.000000,bestL=6.84251423682 feas=0.000e+00 eps=0.000256
231,1204.000000,bestL=6.81778755202 feas=0.000e+00 eps=0.000105
345,1806.000000,bestL=6.79473342982 feas=1.258e-15 eps=9.76e-05
459,2406.000000,bestL=6.78777559263 feas=0.000e+00 eps=4.2e-05
573,3008.000000,bestL=6.78678538802 feas=0.000e+00 eps=1.28e-05
687,3609.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
801,4213.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
915,4817.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1029,5421.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1143,6025.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1256,6625.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1370,7229.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1484,7834.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1598,8438.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1712,9042.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1826,9646.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
1940,10250.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
2054,10854.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
2168,11458.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
2282,12063.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
2396,12667.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
2510,13271.000000,bestL=6.78494040974 feas=3.691e-16 eps=1e-05
