# prefix=N25_job5490721_task6 run_id=6 seed=12351 N=25
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
611.000000,3.32382120046,0.00212939806309,0.00032,50,0,10
1218.000000,3.32382120046,0.00212939806309,0.00016384,100,0,0
1822.000000,3.32382120046,0.00212939806309,0.000104858,149,0,9
2425.000000,3.32354237813,2.32063352977e-15,6.71089e-05,198,0,18
3026.000000,3.32256469979,0,3.43597e-05,247,7,7
3632.000000,3.31931687775,0,3.99432e-05,296,9,16
4239.000000,3.31594259902,0,4.19404e-05,345,3,5
4843.000000,3.31500815484,0,2.68418e-05,395,8,15
5450.000000,3.31473908483,0,1.80377e-05,445,2,5
6058.000000,3.31470081904,3.33066907388e-16,1.15441e-05,494,1,14
6664.000000,3.31470081904,3.33066907388e-16,1e-05,543,0,3
7270.000000,3.31470081904,3.33066907388e-16,1e-05,592,0,12
7876.000000,3.31470081904,3.33066907388e-16,1e-05,641,0,1
8482.000000,3.31470081904,3.33066907388e-16,1e-05,690,0,10
9088.000000,3.31470081904,3.33066907388e-16,1e-05,739,0,19
9694.000000,3.31470081904,3.33066907388e-16,1e-05,788,0,8
10300.000000,3.31470081904,3.33066907388e-16,1e-05,837,0,17
10906.000000,3.31470081904,3.33066907388e-16,1e-05,886,0,6
11512.000000,3.31470081904,3.33066907388e-16,1e-05,935,0,15
12118.000000,3.31470081904,3.33066907388e-16,1e-05,984,0,4
12724.000000,3.31470081904,3.33066907388e-16,1e-05,1033,0,13
13330.000000,3.31470081904,3.33066907388e-16,1e-05,1082,0,2
