# prefix=N50_job5490722_task5 run_id=5 seed=12350 N=50
step,time_sec,info
73,604.000000,bestL=4.67094144477 feas=1.082e-15 eps=0.000977
141,1204.000000,bestL=4.67094144477 feas=1.082e-15 eps=0.000625
210,1811.000000,bestL=4.63777082243 feas=4.441e-16 eps=0.0005
279,2413.000000,bestL=4.63777082243 feas=4.441e-16 eps=0.000256
348,3019.000000,bestL=4.63777082243 feas=4.441e-16 eps=0.000105
417,3624.000000,bestL=4.63777082243 feas=4.441e-16 eps=5.37e-05
486,4226.000000,bestL=4.63777082243 feas=4.441e-16 eps=2.2e-05
556,4829.000000,bestL=4.63770555161 feas=1.934e-16 eps=1.13e-05
625,5429.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
694,6030.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
763,6631.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
832,7232.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
901,7833.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
970,8434.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1039,9034.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1108,9635.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1177,10236.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1246,10837.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1315,11437.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1384,12038.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1453,12639.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
1520,13244.000000,bestL=4.63770555161 feas=1.934e-16 eps=1e-05
