# prefix=N25_job5491089_task7 run_id=7 seed=12352 N=25
step,time_sec,info
47,609.000000,bestL=3.24533146373 feas=1.748e-05 eps=0.00032
93,1214.000000,bestL=3.24533146373 feas=1.748e-05 eps=0.000205
139,1827.000000,bestL=3.24533146373 feas=1.748e-05 eps=0.000131
185,2439.000000,bestL=3.24533146373 feas=1.748e-05 eps=6.71e-05
231,3048.000000,bestL=3.24533146373 feas=1.748e-05 eps=4.29e-05
277,3653.000000,bestL=3.24533146373 feas=1.748e-05 eps=2.75e-05
323,4265.000000,bestL=3.24533146373 feas=1.748e-05 eps=1.41e-05
369,4873.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
414,5476.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
459,6079.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
504,6682.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
549,7285.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
594,7888.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
639,8492.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
684,9095.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
729,9698.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
774,10301.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
819,10904.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
864,11507.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
909,12110.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
954,12713.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
999,13317.000000,bestL=3.24533146373 feas=1.748e-05 eps=1e-05
