# prefix=N25_job5490720_task5 run_id=5 seed=12350 N=25
time_sec,bestL,bestFeas,eps,attempts,success_in_window,total_in_window
603.000000,3.23316227193,6.30084108198e-16,0.00032,46,0,6
1208.000000,3.2325001203,0,0.0002048,92,1,12
1811.000000,3.2325001203,0,0.000131072,138,0,18
2421.000000,3.2325001203,0,6.71089e-05,184,0,4
3025.000000,3.2325001203,0,4.29497e-05,230,0,10
3632.000000,3.2325001203,0,2.74878e-05,276,0,16
4242.000000,3.2325001203,0,1.40737e-05,323,0,3
4845.000000,3.23243547062,1.21812657825e-15,1e-05,369,2,9
5454.000000,3.23243547062,1.21812657825e-15,1e-05,415,0,15
6063.000000,3.23243547062,1.21812657825e-15,1e-05,461,0,1
6671.000000,3.23243547062,1.21812657825e-15,1e-05,507,0,7
7280.000000,3.23243547062,1.21812657825e-15,1e-05,553,0,13
7888.000000,3.23243547062,1.21812657825e-15,1e-05,599,0,19
8497.000000,3.23243547062,1.21812657825e-15,1e-05,645,0,5
9105.000000,3.23243547062,1.21812657825e-15,1e-05,691,0,11
9713.000000,3.23243547062,1.21812657825e-15,1e-05,737,0,17
10322.000000,3.23243547062,1.21812657825e-15,1e-05,783,0,3
10930.000000,3.23243547062,1.21812657825e-15,1e-05,829,0,9
11539.000000,3.23243547062,1.21812657825e-15,1e-05,875,0,15
12147.000000,3.23243547062,1.21812657825e-15,1e-05,921,0,1
12756.000000,3.23243547062,1.21812657825e-15,1e-05,967,0,7
13364.000000,3.23243547062,1.21812657825e-15,1e-05,1013,0,13
