# prefix=N200_job5490050_task2 run_id=2 seed=12347 N=200
step,time_sec,info
184,603.000000,bestL=9.98200050001 feas=0.000e+00 eps=0.000276
358,1203.000000,bestL=9.7894175268 feas=0.000e+00 eps=0.000322
527,1803.000000,bestL=9.72899302874 feas=0.000e+00 eps=0.000166
693,2403.000000,bestL=9.70673873628 feas=0.000e+00 eps=5.05e-05
860,3003.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1029,3605.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1198,4207.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1367,4809.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1536,5411.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1705,6013.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
1874,6615.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2043,7218.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2212,7820.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2381,8422.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2550,9025.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2719,9628.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
2888,10230.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3057,10831.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3226,11433.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3395,12035.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3564,12636.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3733,13238.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
3902,13839.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4071,14441.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4238,15043.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4401,15643.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4570,16246.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4739,16847.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
4908,17449.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5077,18050.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5246,18652.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5415,19253.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5584,19855.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5753,20456.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
5922,21058.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6091,21660.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6260,22261.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6429,22863.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6598,23464.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6767,24066.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
6936,24667.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7105,25269.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7274,25870.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7443,26472.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7612,27074.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7781,27675.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
7950,28277.000000,bestL=9.7054819147 feas=0.000e+00 eps=1e-05
