# prefix=N25_job5490043_task2 run_id=2 seed=12347 N=25
step,time_sec,info
44,613.000000,bestL=3.21318332698 feas=3.469e-17 eps=0.00032
89,1222.000000,bestL=3.21318332698 feas=3.469e-17 eps=0.000205
134,1833.000000,bestL=3.2103415532 feas=0.000e+00 eps=0.000131
179,2442.000000,bestL=3.2103415532 feas=0.000e+00 eps=8.39e-05
224,3048.000000,bestL=3.2103415532 feas=0.000e+00 eps=4.29e-05
269,3661.000000,bestL=3.2103415532 feas=0.000e+00 eps=2.75e-05
314,4269.000000,bestL=3.2103415532 feas=0.000e+00 eps=1.76e-05
358,4869.000000,bestL=3.2103415532 feas=0.000e+00 eps=1.13e-05
403,5476.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
448,6083.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
493,6690.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
538,7297.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
583,7904.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
628,8511.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
673,9119.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
718,9726.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
763,10334.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
808,10941.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
853,11548.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
898,12156.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
943,12763.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
988,13371.000000,bestL=3.2103415532 feas=0.000e+00 eps=1e-05
