# prefix=N10_20260424_193109_job5489989_node_03_i12n7_w001 run_id=25 seed=12370 L=2.0858353476761184 best_feas=0 N=10
i,cx,cy,theta_rad
0,-0.82718642674963183,0.15233252891069812,4.4457170772095775
1,0.058619446857864417,0.71353702321117651,2.1392489623657767
2,-0.17818368841961119,-0.65131921326131392,1.9449959435250228
3,0.29924422022646646,-0.28907269998008384,2.7886170855288732
4,0.82883795920414782,-0.61956398088446285,2.0817930963349323
5,-0.80084201001814392,0.59953120978357832,5.2898421248984437
6,0.67883651037020798,0.15548306299989847,5.8233100755802321
7,0.33473562440770949,0.66595320418246795,5.1968544051471879
8,-0.68450411427335955,-0.31181818968299074,2.6829381766815037
9,0.3112624445781893,0.10530253794146867,1.3393381886138469
