# prefix=N100_job5490049_task2 run_id=2 seed=12347 L=6.7920801611758472 best_feas=9.9026185868045332e-07 N=100
i,cx,cy,theta_rad
0,0.67595790279118706,0.62829604651944304,2.9602791396778581
1,3.1705588583754967,3.0520016351039789,1.1403395060769075
2,-1.1098119160489917,0.49744834174960406,0.13594760360763034
3,-1.6189200600621403,-3.0648659827419213,1.9237845847238733
4,-0.64550226838954117,-0.52069856939163228,4.9371934216627764
5,-2.8609346283592401,0.53040802759886774,3.2980525549428417
6,1.0092286222105131,0.7072948631003978,4.8694219088201454
7,-0.54353067573014291,2.2727661818692768,2.3769879361923456
8,2.6126400578310651,0.43974927364841715,6.1930628044738638
9,0.45511586334790594,1.3319387166586949,0.098762999505166954
10,2.1882404608357695,-0.45055077346618688,3.8031392601771885
11,-1.864906992528901,-2.6411423710719149,5.6888703622955132
12,-2.9827810089063811,-2.2802639486075762,3.7286893149673968
13,-2.8979199364500161,1.3039560981061527,3.6055774321795142
14,-2.5053889531770359,3.0669052258073735,1.1500694627840788
15,1.0628563592719329,1.2897490427621725,2.1540905224976261
16,-0.25548896187402631,-0.1026203317036813,5.935381405242854
17,1.5123272534838703,-2.5053919348104299,0.30855216228157528
18,3.0549984419081686,0.7496103983722735,5.8544774783949318
19,-0.58910915747811166,0.33743748403375018,0.037661618530609085
20,1.8453252153327961,2.587104585585295,0.35130510568312379
21,1.06418841026794,1.6952530311217993,5.6208075394586707
22,1.7965026121033605,-3.1704315080654224,6.1707112780790307
23,-3.0457408385057962,-1.3677626959825009,0.2886280027507887
24,2.7254309397340304,-0.41527285921375334,4.1339346262612411
25,0.91629210369090097,-1.9230819624343412,3.4671364201371953
26,-1.6966050901840097,3.0718405907011701,5.1194238829201835
27,1.9451344998558839,-0.91284329594291069,3.1082513703386843
28,1.3157079602698647,-2.985360941109191,2.1085460134863503
29,1.4026743411065754,1.219286503641869,4.8126999248151403
30,0.83659813648075476,-0.19526475411231645,3.8445787207086495
31,1.4758419917237047,0.065800325445618008,3.9327720963712318
32,0.74811960091706686,2.4013206889583425,0.47411131485650287
33,-1.9365994104648703,-1.3632607020336842,5.1680551991112633
34,-3.0471202145465104,2.1056856585015384,2.9125315998643622
35,3.0469680909890675,-3.1284575262660295,6.1423239440038477
36,0.69127158666332877,-1.5178418634346584,0.16358328339647255
37,-1.6943634428896095,-0.75256977624462096,2.0625282387796506
38,3.1172147370696273,-1.0581641249350946,2.4753738116689488
39,0.20809209540367976,-0.71122630511383833,1.9831943654014805
40,3.1580331351551592,-0.016929932670410337,1.4191169655622491
41,2.786282218560284,2.3393682367110182,5.4691839602308816
42,-2.9815665414553019,-3.1125045607587594,0.52294693444697027
43,-3.1854813897596155,-0.092693751154864168,4.1004914326416912
44,-0.25980651348133577,-3.0584891882094407,1.8704152798357436
45,-1.829722624724395,-0.0962516828447742,5.3943709807098923
46,0.19551768444498072,1.0683102570896099,3.1571972917490632
47,-1.6838084888861613,0.4487191178021111,0.86841199591412988
48,1.7263928717284589,1.6938727946657335,0.04934147448512366
