# prefix=N25_job5490042_task1 run_id=1 seed=12346 L=4.9377206477749995 best_feas=0 N=25
i,cx,cy,theta_rad
0,2.0214703176107833,0.96738797349068106,0.535044206092816
1,-0.99725816924345878,-1.6197654841382592,2.9241828655233824
2,-0.90423077062505819,0.65668022557396633,1.6530794446484394
3,2.1807074122995975,0.40362359754150023,1.5851518451623257
4,1.3101377815579978,1.102564278663021,3.0093404459469193
5,-2.1468295176938601,1.6513085654145763,4.8512353581140522
6,-0.57235974770550047,1.0750113707056528,4.6835187183989122
7,1.0010019681196489,2.1680467777238626,2.2192029272115734
8,-1.7530548522012466,-0.048023672744111456,0.82390861735542087
9,-1.5145474976762643,1.0930446755680812,1.8553065014877053
10,0.34716569709623279,0.30170917525588015,1.0904274612339946
11,0.66391240008498087,-0.19339459957547611,3.6110420340943148
12,-0.46379283704449703,-0.96952031479641043,4.6590503991773558
13,0.19938282867792734,1.8321785745562078,0.72109933001238913
14,1.4742640289144258,-1.4732875345183416,4.8893409946783901
15,0.036345223217429681,-2.173357828513681,0.86797442179148276
16,1.578869681209953,2.092532699628546,4.9861188715268856
17,-0.66138143198397092,0.28909435528744198,4.3142314544371976
18,1.3602788656978504,-0.21809570551931748,4.2974311390004365
19,0.40866504772154139,0.82183278379318869,0.034850019660630525
20,-2.0600578134493039,-0.62829577980474527,2.7333893935499889
21,0.028549234273154256,-0.38525748446329461,4.1339909281930467
22,-2.0316170261872744,-2.2493964588727819,0.13704432225843485
23,0.98848720431952564,-1.9065621796906076,4.4694168504972369
24,0.63998391167814972,-1.1761154535375902,2.8096736016872939
