# prefix=N10_job5489985_node_02_i12n4_w001 run_id=17 seed=12362 L=2.2522851572390947 best_feas=9.6836025462347514e-08 N=10
i,cx,cy,theta_rad
0,0.14298431219469179,-0.099998354861402322,5.1381254558907541
1,0.17331927643818337,-0.5210837434844362,3.8570709715744016
2,-0.71280404522683449,-0.50333674533447281,0.53148759085239594
3,-0.16955036132112539,0.44104162002991143,3.0340116467250664
4,0.78097312590129586,-0.65003363854661211,5.9729105715925375
5,-0.31895176734929825,-0.75128516146105406,2.0455847436471628
6,-0.80673832014185143,0.38190590334658825,3.762741227522548
7,0.79017387160603936,0.85462931405691944,3.5652526098210631
8,0.079301001357628492,0.88611453674412755,3.6131203915807522
9,-0.89157465953126558,0.78716745615823025,5.0635129025341978
