# prefix=N25_job5491089_task7 run_id=7 seed=12352 L=3.8699057684520546 best_feas=0.026570869205390354 N=25
i,cx,cy,theta_rad
0,-1.6816532421605879,-0.076348538473592478,5.0996419841941227
1,-0.57373506546264341,-1.6253545024518274,0.13774422278612955
2,1.2338005861654253,1.4534468470836173,3.5126159206137335
3,0.46135165830146291,0.23771998836048644,0.7465615984657209
4,1.2893356023639895,-1.2384910899601369,2.5750916550214207
5,-0.12899003831725475,0.26026583020379757,2.7724158449559271
6,-0.2522015459777876,0.43320261729410336,1.9387807455610202
7,0.23567389453523346,1.1448859050281757,3.6945183080684152
8,0.78983753149393798,-0.75037361942375647,3.0916411946076074
9,1.4586317476937583,0.55191976738020654,3.0195547327556822
10,0.94467172909352626,0.66362058391927781,3.4442857517837373
11,-1.2329867217563226,0.45962555276411143,0.73315056894154229
12,-0.37703782650905365,-1.0472097207323749,4.7015960127448855
13,0.40526764043675917,-1.5099501395028641,1.6109182174388159
14,-1.5641038365441773,-1.3084992743374206,4.5572778059943015
15,0.35499136282294524,-0.68077030243748471,0.070813243623430097
16,1.6361066803783033,-0.80619591324589934,1.3308176637488187
17,-1.396322816873262,1.076598176205797,5.115633011864988
18,-1.3400169789154486,-0.24957559190722514,2.6669861501604175
19,-0.49365387513109549,1.4892915901051549,1.3260360366665445
20,-0.095398507833720156,1.5397402039369072,5.100339392388376
21,-1.0816501808588184,-0.86258115000419511,5.4524103344449033
22,-0.69246878800445799,0.72085580447144793,5.5044186535309434
23,1.201195500809271,-0.24076003609753585,1.3937974494315704
24,0.62780142601998945,1.4939555171078165,3.347669467364887
