# prefix=N25_job5490721_task6 run_id=6 seed=12351 L=3.3205103732144838 best_feas=4.427253440401428e-06 N=25
i,cx,cy,theta_rad
0,0.24836268302806849,-0.32933418677230475,3.795799612338226
1,-1.2216129068730142,0.13534018113931151,0.58031494615410717
2,-0.35690253554601586,-0.17368077165900142,5.022778013734861
3,0.9426655424666468,-0.47583217821844198,0.64759806060540714
4,0.91489341837044091,1.3375573585641469,5.1238937583477933
5,-0.61655389021653373,-1.3380785659850267,5.1353721941532111
6,0.11163318615017914,0.94555653069267775,4.3605563982917861
7,1.4384971005590419,-0.65647891298797179,2.0640538560874888
8,-0.2548466676227395,-0.7039189403754994,4.4898133888926468
9,0.50295516308604526,1.3036379125577888,1.1909861606094396
10,0.43866328637065877,-1.2740530650786941,4.9411233583017848
11,1.1552617129590781,0.48198741923330518,1.9545416661000541
12,-0.16274418532293644,0.80631662433634477,1.3610109151794656
13,-1.2452052021120619,-0.77382000445050081,2.7957598204426013
14,0.33859272627902598,0.38976430437373821,1.879032560599081
15,1.4544781456353051,0.89408222143537852,1.5336583397504735
16,-1.1434798270872779,0.73067286812039567,4.5472931110230874
17,-0.82914033924306185,-0.098696850942367853,5.5652506832623869
18,-1.391396085471565,-0.25246572917930565,4.4170790800081221
19,-0.80764747367343381,-0.90645477660783014,5.662642015197024
20,1.4190360929059826,-1.3299075983293078,1.9891022429618865
21,-0.42623621791093536,1.3285792425432197,1.1880189791220135
22,1.4434369312504254,-0.049790752214026582,1.428148513722878
23,-1.4466430150906378,1.2873150603393029,4.5517315253202373
24,-0.901148979582723,-1.2954626639224545,2.0324563124232027
