# prefix=N25_job5490720_task5 run_id=5 seed=12350 L=5.75 best_feas=0 N=25
i,cx,cy,theta_rad
0,-2.2698389483818318,2.0385008841084478,0.63580606586709254
1,-2.0078335067240798,1.5237664115488487,1.9744609059194129
2,-0.6279934951352506,2.4582454540595018,1.6598956107288927
3,0.31120073857526753,2.0064560052503277,0.32620684787695137
4,2.422646416384457,1.737765253213768,0.085834053633393706
5,-1.8902864250454432,0.83389835525399292,1.941562168380913
6,-1.5674259774820907,1.7597739888768047,0.28893037576990588
7,-0.80225775956934464,1.0168309678943022,1.758313702351944
8,-0.0021260932560247525,1.3511151775308892,1.6013105869751489
9,1.5107425607327141,1.2872757065124685,0.99323833652400095
10,-1.2000084475144006,-0.28393632069546232,1.0074845205466112
11,-2.1067620514029097,-0.033246070945063488,1.8880634968096199
12,-0.80111708722335462,0.018561301674322205,4.414953256934175
13,1.0849719492107863,2.245350827940884,5.2930549183289743
14,1.2678085888353434,-0.49709758131867599,2.9884782847970572
15,0.99013008960427018,0.57821404055480552,1.8916136655396645
16,-1.6169582253854256,-1.32224043033629,4.0657209065033015
17,-0.33727506894693571,-0.87077374191350265,2.4739209096140753
18,2.2414584265600874,0.16395161879143572,5.81554701031724
19,0.63119344630195218,-0.49669968889685112,2.5682136797912571
20,-2.4619066621945329,-1.8622858955570405,2.8479643818631368
21,-1.1637995876691265,-2.1393586711065078,2.6042573765940049
22,-0.38828484010336706,-2.0786256511690349,2.5490669835254636
23,0.15816676193793278,-1.8547358251625909,3.2733538047863213
24,1.9887814752785609,-2.1913732071303751,0.17803209007793352
