time,trial,L,N,feas
2026-02-26T00:38:56Z,0,2.4279621084,6,6.2966227013221826e-15
time,trial,L,N,feas
2026-02-26T00:38:59Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:01Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:04Z,0,2.4279621084,6,4.530474303002241e-16
time,trial,L,N,feas
2026-02-26T00:39:07Z,0,2.4279621084,6,1.2523510874162813e-14
time,trial,L,N,feas
2026-02-26T00:39:10Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:13Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:16Z,0,2.4279621084,6,5.6228799895819033e-17
time,trial,L,N,feas
2026-02-26T00:39:19Z,0,2.4279621084,6,2.5593227556230773e-16
time,trial,L,N,feas
time,trial,L,N,feas
2026-02-26T00:39:25Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:28Z,0,2.4279621084,6,1.4295205644221376e-16
time,trial,L,N,feas
2026-02-26T00:39:31Z,0,2.4279621084,6,2.8126576046526297e-17
time,trial,L,N,feas
2026-02-26T00:39:34Z,0,2.4279621084,6,6.2741085655841633e-16
time,trial,L,N,feas
2026-02-26T00:39:37Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:40Z,0,2.4279621084,6,6.4114210766635579e-16
time,trial,L,N,feas
2026-02-26T00:39:43Z,0,2.4279621084,6,1.3244895377537884e-16
time,trial,L,N,feas
2026-02-26T00:39:46Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:49Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:51Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:54Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:39:57Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:00Z,0,2.4279621084,6,3.7443752119075205e-15
time,trial,L,N,feas
2026-02-26T00:40:04Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:06Z,0,2.4279621084,6,5.6602280015669503e-15
time,trial,L,N,feas
2026-02-26T00:40:09Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:12Z,0,2.4279621084,6,4.2818531923241587e-16
time,trial,L,N,feas
2026-02-26T00:40:15Z,0,2.4279621084,6,1.0684473596665744e-16
time,trial,L,N,feas
time,trial,L,N,feas
2026-02-26T00:40:23Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:26Z,0,2.4279621084,6,2.2871075587428388e-16
time,trial,L,N,feas
2026-02-26T00:40:29Z,0,2.4279621084,6,4.6708107217033334e-16
time,trial,L,N,feas
2026-02-26T00:40:32Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:36Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:39Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:40:42Z,0,2.4279621084,6,2.1089576669085707e-15
time,trial,L,N,feas
2026-02-26T00:40:45Z,0,2.4279621084,6,3.750578881213211e-15
time,trial,L,N,feas
2026-02-26T00:40:49Z,0,2.4279621084,6,8.0180985820039324e-16
time,trial,L,N,feas
2026-02-26T00:40:52Z,0,2.4279621084,6,7.9343236353886931e-15
time,trial,L,N,feas
2026-02-26T00:40:55Z,0,2.4279621084,6,1.4585704063811711e-14
time,trial,L,N,feas
2026-02-26T00:40:58Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:41:02Z,0,2.4279621084,6,9.0098420260989465e-15
time,trial,L,N,feas
2026-02-26T00:41:05Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:41:09Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:41:12Z,0,2.4279621084,6,3.8916352779194696e-15
time,trial,L,N,feas
2026-02-26T00:41:15Z,0,2.4279621084,6,7.1469251957528845e-17
time,trial,L,N,feas
2026-02-26T00:41:18Z,0,2.4279621084,6,5.3177948156069021e-15
time,trial,L,N,feas
2026-02-26T00:41:22Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:41:26Z,0,2.4279621084,6,0
time,trial,L,N,feas
2026-02-26T00:41:29Z,0,2.4279621084,6,5.1567789345315432e-16
time,trial,L,N,feas
2026-02-26T00:41:32Z,0,2.4279621084,6,0
time,trial,L,N,feas
